tweet_id,label
1.24676e+18,fake
1.35126e+18,real
1.31157e+18,real
1.33382e+18,fake
1.34763e+18,fake
1.3547e+18,fake
1.33203e+18,fake
1.37154e+18,fake
1.35002e+18,real
1.33982e+18,real
1.34496e+18,real
1.30189e+18,fake
1.36554e+18,real
1.3442e+18,real
1.35409e+18,fake
1.34134e+18,real
1.31682e+18,fake
1.34935e+18,real
1.32648e+18,fake
1.30799e+18,real
1.33093e+18,real
1.37215e+18,fake
1.31162e+18,real
1.37065e+18,real
1.3287e+18,real
1.24977e+18,real
1.36419e+18,fake
1.28668e+18,fake
1.3344e+18,fake
1.33e+18,fake
1.31226e+18,fake
1.33315e+18,fake
1.34499e+18,fake
1.29675e+18,real
1.31779e+18,fake
1.30727e+18,real
1.32868e+18,fake
1.36848e+18,fake
1.32437e+18,fake
1.34232e+18,fake
1.28705e+18,real
1.34417e+18,real
1.23798e+18,fake
1.3319e+18,real
1.34634e+18,fake
1.32356e+18,fake
1.32677e+18,fake
1.24486e+18,real
1.3489e+18,fake
1.31997e+18,fake
1.37901e+18,real
1.32107e+18,real
1.3439e+18,real
1.28236e+18,fake
1.33184e+18,fake
1.33589e+18,real
1.37211e+18,real
1.37543e+18,fake
1.32274e+18,fake
1.24204e+18,real
1.36056e+18,fake
1.32977e+18,fake
1.3301e+18,fake
1.30762e+18,real
1.35087e+18,fake
1.31358e+18,fake
1.31531e+18,fake
1.24651e+18,real
1.36601e+18,fake
1.23953e+18,fake
1.31302e+18,real
1.35231e+18,fake
1.31874e+18,fake
1.32205e+18,fake
1.36708e+18,fake
1.35478e+18,fake
1.29778e+18,fake
1.29567e+18,real
1.33148e+18,fake
1.3021e+18,real
1.29964e+18,real
1.33231e+18,fake
1.34148e+18,real
1.23839e+18,real
1.33413e+18,fake
1.34052e+18,real
1.33223e+18,real
1.34567e+18,fake
1.34705e+18,fake
1.34857e+18,fake
1.3565e+18,real
1.36518e+18,real
1.34357e+18,fake
1.36917e+18,fake
1.31634e+18,real
1.30474e+18,real
1.32004e+18,real
1.34388e+18,real
1.24632e+18,fake
1.36987e+18,fake
1.31517e+18,fake
1.36645e+18,fake
1.36214e+18,fake
1.33377e+18,fake
1.26516e+18,real
1.34364e+18,real
1.35058e+18,fake
1.37555e+18,fake
1.34096e+18,real
1.33047e+18,real
1.31624e+18,real
1.23854e+18,fake
1.34784e+18,fake
1.37166e+18,fake
1.33618e+18,fake
1.33043e+18,real
1.37874e+18,real
1.32944e+18,fake
1.32224e+18,fake
1.3688e+18,fake
1.36529e+18,fake
1.35887e+18,fake
1.2957e+18,real
1.34602e+18,fake
1.36633e+18,fake
1.26198e+18,fake
1.31469e+18,fake
1.34251e+18,fake
1.33942e+18,fake
1.3163e+18,real
1.35149e+18,fake
1.35581e+18,real
1.31385e+18,fake
1.34872e+18,fake
1.37444e+18,real
1.31391e+18,real
1.33035e+18,fake
1.34865e+18,fake
1.30936e+18,fake
1.24675e+18,real
1.3342e+18,fake
1.32644e+18,real
1.31573e+18,fake
1.34222e+18,fake
1.34398e+18,fake
1.32658e+18,fake
1.36567e+18,fake
1.33155e+18,fake
1.35045e+18,real
1.35868e+18,real
1.35327e+18,fake
1.33044e+18,fake
1.31949e+18,fake
1.31852e+18,fake
1.36455e+18,real
1.32136e+18,real
1.36114e+18,fake
1.34829e+18,fake
1.32835e+18,real
1.32748e+18,fake
1.24172e+18,fake
1.24609e+18,real
1.33034e+18,fake
1.36919e+18,real
1.31937e+18,fake
1.33226e+18,real
1.36318e+18,real
1.35326e+18,real
1.2949e+18,real
1.33192e+18,real
1.33295e+18,real
1.31335e+18,real
1.30339e+18,real
1.35288e+18,real
1.32753e+18,real
1.35478e+18,fake
1.3409e+18,fake
1.25003e+18,real
1.36235e+18,real
1.35987e+18,fake
1.34777e+18,fake
1.37511e+18,real
1.35997e+18,real
1.34787e+18,fake
1.24702e+18,real
1.33272e+18,real
1.31017e+18,real
1.36517e+18,fake
1.31442e+18,fake
1.32767e+18,fake
1.34392e+18,fake
1.32139e+18,fake
1.30713e+18,fake
1.34034e+18,real
1.24166e+18,real
1.29348e+18,real
1.33806e+18,real
1.35396e+18,fake
1.33623e+18,fake
1.3414e+18,real
1.33196e+18,real
1.33512e+18,fake
1.35446e+18,fake
1.35551e+18,fake
1.32142e+18,real
1.34133e+18,real
1.32104e+18,real
1.29029e+18,real
1.36304e+18,fake
1.3512e+18,real
1.34356e+18,real
1.31821e+18,fake
1.35396e+18,real
1.32252e+18,real
1.341e+18,fake
1.35903e+18,real
1.36639e+18,fake
1.30397e+18,fake
1.29452e+18,real
1.34183e+18,real
1.36379e+18,fake
1.31814e+18,real
1.28122e+18,fake
1.2616e+18,real
1.33958e+18,fake
1.25363e+18,fake
1.31193e+18,fake
1.33127e+18,fake
1.34858e+18,real
1.31515e+18,real
1.36268e+18,real
1.33157e+18,real
1.37618e+18,real
1.34383e+18,real
1.32747e+18,fake
1.36634e+18,real
1.32116e+18,fake
1.31425e+18,real
1.36566e+18,real
1.2505e+18,real
1.35515e+18,fake
1.29997e+18,real
1.37418e+18,fake
1.34075e+18,real
1.36468e+18,fake
1.28702e+18,fake
1.36632e+18,fake
1.37403e+18,real
1.25652e+18,real
1.2391e+18,real
1.34969e+18,fake
1.37665e+18,real
1.35883e+18,fake
1.338e+18,real
1.30831e+18,real
1.31442e+18,fake
1.31162e+18,real
1.31442e+18,fake
1.31817e+18,real
1.30884e+18,fake
1.36613e+18,fake
1.35936e+18,fake
1.32897e+18,real
1.32212e+18,real
1.35545e+18,real
1.34568e+18,real
1.31893e+18,fake
1.36054e+18,real
1.33091e+18,fake
1.36843e+18,fake
1.32951e+18,real
1.31953e+18,real
1.35904e+18,real
1.35087e+18,real
1.3058e+18,real
1.32797e+18,real
1.35514e+18,fake
