urls,photos,video,Label,text_length,tweet_hash
0,0,0.0,0,57.0,458f8974d421e257421d23821f711c02ba582b3ca361547e2bc2e6529ffbc29c
0,0,0.0,0,14.0,ad5231779e80faecd71f6a7985d91bc599675f8047f82a4d13cffc11a38f3499
0,0,0.0,0,10.0,d2f3de6cc41b405470aec6438394d2c7806dfb470815378df3a2ac7579c5a5b9
0,0,0.0,0,54.0,542b394f5bc0dc59256ca4dfdf84a0bed0113eb5a711198fee8add13abde89c3
0,0,0.0,1,31.0,f77b3c28586cf2e626ae7955a31dfddadeba8719031d99cb66a190f69e3ec53d
0,0,0.0,0,38.0,10c67bfffdbb11a387b6c96cf6b5b572ee1864e4c4d75210adcd5aa731d71b3d
0,0,0.0,0,17.0,4ef434c16aacd1c8d0de5f935bec49abaa2a2ddf0735c7471aba7ab21bf5b58f
1,1,1.0,0,41.0,6cd885a5b0c065b6396bfe6de74dd6341c652c3f837eedf99383f5cfbfedac85
0,1,1.0,1,44.0,a09e1beb8034ff4e6c008ad5490f3126f42c3c623a155718a69b3767c054361f
0,1,1.0,1,12.0,8debdbb44fae6cededdb58b7e2da9b81e5bf8b657cdd7faf2cd4a27f7ac2f890
0,0,0.0,0,35.0,f2a3da4eb62e1e1e95eaeea11cb713c9e0fee483813dfdbd77ac0a805112864c
0,0,0.0,0,18.0,b6b4030a62111831830f44a9dfad8d9b007cb153b1af194a429973ad72cc77ca
0,0,0.0,1,32.0,bdf2a0349f43d8559367133791dca3229031c83eef3265dd353b2745d6a137a0
0,0,0.0,0,41.0,69d28f06744cf4452a243a3102fde1db83238fc8b1447d987fc5dd082558fa21
0,0,0.0,0,58.0,fdaef82fe384f2843ba57829f48eb30ce61dd4925b049ecb96737b4f1b954c78
0,0,0.0,0,18.0,995c4d2edcc4972b9776860a423b4ea1b2b212adbdc2f47ca8cd10db293fee21
0,0,0.0,1,35.0,4bd22645269ffeecd67c19dde74717c255afb4056b01644a648c604fc11b6d43
1,1,1.0,1,51.0,e45ec4149524d7619fc47a1f3a4fa2a572443ef8436dbe3337051c5d83cf83e3
0,0,0.0,1,32.0,d37542033a239f29c2602747179def405ed4166a20e6725965a04e7ce50982c2
1,0,0.0,1,22.0,98b585cdebad23a4ff2e4f72a7fc0c78f40250cdf17f31fc28d75abb29437401
0,0,1.0,1,55.0,45c0382a93866df7e635ececdfa90b54bb6c5eec07920b09f16b793196b601df
0,0,1.0,0,13.0,5e6a9f67ce4b6a9b40df9274f209b1bdfe4717f47a4bd19195f91bdc6cd529ee
1,0,0.0,1,38.0,4df54630329620710bb2518dba102dbc3c0f134f9d3d91536137c07cace4a02d
0,0,0.0,1,51.0,2431728a58a843058af9f241248c10689f632ff619e150ef8fff01123a985546
